ID,Title,Severity,CWE,CVE(s),Bounty,Status,Disclosed,Submitted,Program,Reporter,Votes,URL
3589247,Unauthenticated File Upload to CDN,Medium,Improper Access Control - Generic,,,resolved,2026-05-18,2026-03-06,Enjin,ph0r3nsic,5,https://hackerone.com/reports/3589247
3713682,IDOR: autotranslate.translateMessage Full Message Content Leak,Medium,Insecure Direct Object Reference (IDOR),,,resolved,2026-05-18,2026-05-05,Rocket.Chat,josan_george,1,https://hackerone.com/reports/3713682
3734921,"Trailing-dot IPv4 URL bypasses IP-address guard, allows wildcard DNS SAN match",None,Business Logic Errors,CVE-2022-30115,,informative,2026-05-17,2026-05-14,curl,giant_anteater,4,https://hackerone.com/reports/3734921
3736234,NULL pointer dereference in libcurl URL API redirect_url() with CURLU_DEFAULT_SCHEME,None,NULL Pointer Dereference,,,informative,2026-05-17,2026-05-14,curl,mulan_dh,2,https://hackerone.com/reports/3736234
3462991,SQL Injection in Column Type Parameter Allows Arbitrary SQL Execution,High,SQL Injection,CVE-2026-45545,,resolved,2026-05-15,2025-12-12,Nextcloud,suul,45,https://hackerone.com/reports/3462991
3725659,Kerberos/SPNEGO Connection Reuse Vulnerability,None,,,,duplicate,2026-05-14,2026-05-10,curl,rootofpi_ramesh,17,https://hackerone.com/reports/3725659
3577145,QuickSight Authorization Bypass: Chat Agents Accessible Despite Custom Permissions Denial,None,,,,resolved,2026-05-12,2026-03-04,AWS VDP,jcow,50,https://hackerone.com/reports/3577145
3723002,another liberapay member team twitter account broken Link Hijacking via Expired Twitter Account Link,None,Open Redirect,,,informative,2026-05-09,2026-05-09,Liberapay,rox-11,71,https://hackerone.com/reports/3723002
3721519,Liberapay member team twitter account broken Link Hijacking via Expired Twitter Account Link,None,Open Redirect,,,resolved,2026-05-09,2026-05-08,Liberapay,rox-11,61,https://hackerone.com/reports/3721519
3511998,Private circle can be added to another circle via API despite visibility restriction,Low,Insecure Direct Object Reference (IDOR),CVE-2026-45155,150,resolved,2026-05-08,2026-01-16,Nextcloud,vidang04,68,https://hackerone.com/reports/3511998
3304830,Files drop share links for end-to-end encrypted folders allowed to drop files into other folders of the share owner ,Low,Insecure Direct Object Reference (IDOR),CVE-2026-45159,,resolved,2026-05-08,2025-08-19,Nextcloud,0x0doteth,52,https://hackerone.com/reports/3304830
3521434,View-only guests could see deleted Collectives pages in the trashbin,Low,Improper Access Control - Generic,CVE-2026-45154,,resolved,2026-05-08,2026-01-23,Nextcloud,yoyomiski,55,https://hackerone.com/reports/3521434
3717365,mbedTLS private-key blob null-termination asymmetry in lib/vtls/mbedtls.c (mbed_load_privkey),None,Improper Null Termination,,,informative,2026-05-07,2026-05-06,curl,shecantcode2,41,https://hackerone.com/reports/3717365
3580511,ActiveStorage Disk Service Path Traversal via Custom Blob Key Injection,Medium,Path Traversal,,,resolved,2026-05-07,2026-03-02,Ruby on Rails,ksw9722,49,https://hackerone.com/reports/3580511
3307874,Critical Deadlock Vulnerability in Monero RPC Leading to Complete Node Paralysis,Critical,Uncontrolled Resource Consumption,,,resolved,2026-05-06,2025-08-21,Monero,rorkh,75,https://hackerone.com/reports/3307874
3185083,Connection Count Bug in Monero Node Enables Outbound Peer Reset Attack,None,Privacy Violation,,,resolved,2026-05-06,2025-06-10,Monero,yulge,35,https://hackerone.com/reports/3185083
3708482,wcurl treats some URL operands after -- as curl options,Medium,Improper Neutralization of Value Delimiters,,,not-applicable,2026-05-06,2026-05-02,curl,p4p3r_hak,23,https://hackerone.com/reports/3708482
3625600,Out of scope: Improper Input Validation Order on /api-internal/login via password field leads to unnecessary resource consumption,Low,,,200,resolved,2026-05-05,2026-03-24,PortSwigger Web Security,bereza4321,72,https://hackerone.com/reports/3625600
3710209,Potential Resource Leak in tool_parsecfg.c at line 279 during fileerror,Low,Uncontrolled Resource Consumption,,,not-applicable,2026-05-05,2026-05-03,curl,ravindrasl2026,21,https://hackerone.com/reports/3710209
